ontology,semantic_block_id,semantic_block_name,root_node,semantic_cluster_id,n_terms,representative_go_ids,representative_terms,cluster_method,semantic_similarity_cutoff,semantic_block_n_terms,preblock_method,preblock_go_id
BP,BP_GO_0001568,blood vessel development,biological_process,BP_GO_0001568_1,3,GO:0001568; GO:0035904; GO:0060841,blood vessel development; aorta development; venous blood vessel development,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,3,go_ancestor_prepartition,GO:0001568
BP,BP_GO_0001775,cell activation,biological_process,BP_GO_0001775_1,2,GO:0001775; GO:0042118,cell activation; endothelial cell activation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,2,go_ancestor_prepartition,GO:0001775
BP,BP_GO_0001816,cytokine production,biological_process,BP_GO_0001816_1,1,GO:0010573,vascular endothelial growth factor production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,2,go_ancestor_prepartition,GO:0001816
BP,BP_GO_0001816,cytokine production,biological_process,BP_GO_0001816_2,1,GO:0032905,transforming growth factor beta1 production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,2,go_ancestor_prepartition,GO:0001816
BP,BP_GO_0001817,regulation of cytokine production,biological_process,BP_GO_0001817_1,4,GO:0001817; GO:0032479; GO:0032649; GO:0032675,regulation of cytokine production; regulation of type I interferon production; regulation of interferon-gamma production; regulation of interleukin-6 production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,7,go_ancestor_prepartition,GO:0001817
BP,BP_GO_0001817,regulation of cytokine production,biological_process,BP_GO_0001817_2,1,GO:0032651,regulation of interleukin-1 beta production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,7,go_ancestor_prepartition,GO:0001817
BP,BP_GO_0001817,regulation of cytokine production,biological_process,BP_GO_0001817_3,1,GO:0032680,regulation of tumor necrosis factor production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,7,go_ancestor_prepartition,GO:0001817
BP,BP_GO_0001817,regulation of cytokine production,biological_process,BP_GO_0001817_4,1,GO:0032909,regulation of transforming growth factor beta2 production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,7,go_ancestor_prepartition,GO:0001817
BP,BP_GO_0001819,positive regulation of cytokine production,biological_process,BP_GO_0001819_1,14,GO:0001819; GO:0010575; GO:0032729; GO:0032733; GO:0032735; GO:0032736; GO:0032740; GO:0032743; GO:0032747; GO:0032753,positive regulation of cytokine production; positive regulation of vascular endothelial growth factor production; positive regulation of interferon-gamma production; positive regulation of interleukin-10 production; positive regulation of interleukin-12 production; positive regulation of interleukin-13 production; positive regulation of interleukin-17 production; positive regulation of interleukin-2 production; positive regulation of interleukin-23 production; positive regulation of interleukin-4 production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,24,go_ancestor_prepartition,GO:0001819
BP,BP_GO_0001819,positive regulation of cytokine production,biological_process,BP_GO_0001819_2,3,GO:0032481; GO:0032727; GO:0032728,positive regulation of type I interferon production; positive regulation of interferon-alpha production; positive regulation of interferon-beta production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,24,go_ancestor_prepartition,GO:0001819
BP,BP_GO_0001819,positive regulation of cytokine production,biological_process,BP_GO_0001819_3,3,GO:0032722; GO:0071639; GO:2000343,positive regulation of chemokine production; positive regulation of monocyte chemotactic protein-1 production; positive regulation of chemokine (C-X-C motif) ligand 2 production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,24,go_ancestor_prepartition,GO:0001819
BP,BP_GO_0001819,positive regulation of cytokine production,biological_process,BP_GO_0001819_4,2,GO:0032731; GO:0032732,positive regulation of interleukin-1 beta production; positive regulation of interleukin-1 production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,24,go_ancestor_prepartition,GO:0001819
BP,BP_GO_0001819,positive regulation of cytokine production,biological_process,BP_GO_0001819_5,1,GO:0032760,positive regulation of tumor necrosis factor production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,24,go_ancestor_prepartition,GO:0001819
BP,BP_GO_0001819,positive regulation of cytokine production,biological_process,BP_GO_0001819_6,1,GO:1900017,positive regulation of cytokine production involved in inflammatory response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,24,go_ancestor_prepartition,GO:0001819
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_1,4,GO:0001656; GO:0001822; GO:0001823; GO:0032835,metanephros development; kidney development; mesonephros development; glomerulus development,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_10,1,GO:0072126,positive regulation of glomerular mesangial cell proliferation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_11,1,GO:0072179,nephric duct formation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_12,1,GO:0072205,metanephric collecting duct development,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_13,1,GO:0072207,metanephric epithelium development,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_14,1,GO:0072221,metanephric distal convoluted tubule development,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_15,1,GO:0072308,negative regulation of metanephric nephron tubule epithelial cell differentiation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_2,2,GO:0001657; GO:0035502,ureteric bud development; metanephric part of ureteric bud development,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_3,2,GO:0001658; GO:0090190,branching involved in ureteric bud morphogenesis; positive regulation of branching involved in ureteric bud morphogenesis,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_4,3,GO:0003337; GO:0003340; GO:0072108,mesenchymal to epithelial transition involved in metanephros morphogenesis; negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis; positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_5,1,GO:0032836,glomerular basement membrane development,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_6,1,GO:0035793,positive regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_7,1,GO:0072011,glomerular endothelium development,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_8,2,GO:0072015; GO:0072112,glomerular visceral epithelial cell development; glomerular visceral epithelial cell differentiation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001822,kidney development,biological_process,BP_GO_0001822_9,1,GO:0072104,glomerular capillary formation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,23,go_ancestor_prepartition,GO:0001822
BP,BP_GO_0001944,vasculature development,biological_process,BP_GO_0001944_1,1,GO:0001944,vasculature development,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,4,go_ancestor_prepartition,GO:0001944
BP,BP_GO_0001944,vasculature development,biological_process,BP_GO_0001944_2,1,GO:0001946,lymphangiogenesis,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,4,go_ancestor_prepartition,GO:0001944
BP,BP_GO_0001944,vasculature development,biological_process,BP_GO_0001944_3,1,GO:0060426,lung vasculature development,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,4,go_ancestor_prepartition,GO:0001944
BP,BP_GO_0001944,vasculature development,biological_process,BP_GO_0001944_4,1,GO:1904018,positive regulation of vasculature development,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,4,go_ancestor_prepartition,GO:0001944
BP,BP_GO_0002250,adaptive immune response,biological_process,BP_GO_0002250_1,1,GO:0002250,adaptive immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,3,go_ancestor_prepartition,GO:0002250
BP,BP_GO_0002250,adaptive immune response,biological_process,BP_GO_0002250_2,2,GO:0002819; GO:0002821,regulation of adaptive immune response; positive regulation of adaptive immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,3,go_ancestor_prepartition,GO:0002250
BP,BP_GO_0002252,immune effector process,biological_process,BP_GO_0002252_singleton_1,1,GO:0002434,immune complex clearance,singleton_one_term,0.7,1,go_ancestor_prepartition,GO:0002252
BP,BP_GO_0002253,activation of immune response,biological_process,BP_GO_0002253_1,3,GO:0001867; GO:0006956; GO:0006957,"complement activation, lectin pathway; complement activation; complement activation, alternative pathway",GOSemSim_Wang_average_within_GO_ancestor_block,0.7,4,go_ancestor_prepartition,GO:0002253
BP,BP_GO_0002253,activation of immune response,BP_UNSPECIFIED,BP_GO_0002253_unmapped_1,1,GO:0160257,GO:0160257,singleton_not_in_semdata,0.7,4,go_ancestor_prepartition,GO:0002253
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_1,1,GO:0002265,astrocyte activation involved in immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_10,1,GO:0043308,eosinophil degranulation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_11,2,GO:0045063; GO:0045064,T-helper 1 cell differentiation; T-helper 2 cell differentiation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_12,1,GO:0045190,isotype switching,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_13,3,GO:0045830; GO:0048298; GO:0048304,positive regulation of isotype switching; positive regulation of isotype switching to IgA isotypes; positive regulation of isotype switching to IgG isotypes,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_14,2,GO:0072539; GO:0072540,T-helper 17 cell differentiation; T-helper 17 cell lineage commitment,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_2,2,GO:0002281; GO:0002282,macrophage activation involved in immune response; microglial cell activation involved in immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_3,1,GO:0002283,neutrophil activation involved in immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_4,1,GO:0002286,T cell activation involved in immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_5,1,GO:0002312,B cell activation involved in immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_6,2,GO:0002314; GO:0002315,germinal center B cell differentiation; marginal zone B cell differentiation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_7,1,GO:0002323,natural killer cell activation involved in immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_8,1,GO:0043303,mast cell degranulation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002263,cell activation involved in immune response,biological_process,BP_GO_0002263_9,1,GO:0043306,positive regulation of mast cell degranulation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,20,go_ancestor_prepartition,GO:0002263
BP,BP_GO_0002376,immune system process,biological_process,BP_GO_0002376_1,1,GO:0002376,immune system process,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002376
BP,BP_GO_0002376,immune system process,biological_process,BP_GO_0002376_10,1,GO:0048007,"antigen processing and presentation, exogenous lipid antigen via MHC class Ib",GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002376
BP,BP_GO_0002376,immune system process,biological_process,BP_GO_0002376_2,1,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002376
BP,BP_GO_0002376,immune system process,biological_process,BP_GO_0002376_3,1,GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002376
BP,BP_GO_0002376,immune system process,biological_process,BP_GO_0002376_4,1,GO:0002477,antigen processing and presentation of exogenous peptide antigen via MHC class Ib,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002376
BP,BP_GO_0002376,immune system process,biological_process,BP_GO_0002376_5,2,GO:0002486; GO:0019885,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent; antigen processing and presentation of endogenous peptide antigen via MHC class I",GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002376
BP,BP_GO_0002376,immune system process,biological_process,BP_GO_0002376_6,2,GO:0002504; GO:0019882,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II; antigen processing and presentation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002376
BP,BP_GO_0002376,immune system process,biological_process,BP_GO_0002376_7,1,GO:0002520,immune system development,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002376
BP,BP_GO_0002376,immune system process,biological_process,BP_GO_0002376_8,1,GO:0019886,antigen processing and presentation of exogenous peptide antigen via MHC class II,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002376
BP,BP_GO_0002376,immune system process,biological_process,BP_GO_0002376_9,1,GO:0048006,"antigen processing and presentation, endogenous lipid antigen via MHC class Ib",GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002376
BP,BP_GO_0002443,leukocyte mediated immunity,biological_process,BP_GO_0002443_1,1,GO:0002446,neutrophil mediated immunity,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,5,go_ancestor_prepartition,GO:0002443
BP,BP_GO_0002443,leukocyte mediated immunity,biological_process,BP_GO_0002443_2,4,GO:0070943; GO:0070944; GO:0070945; GO:0070947,neutrophil-mediated killing of symbiont cell; neutrophil-mediated killing of bacterium; neutrophil-mediated killing of gram-negative bacterium; neutrophil-mediated killing of fungus,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,5,go_ancestor_prepartition,GO:0002443
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_1,1,GO:0001788,antibody-dependent cellular cytotoxicity,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_10,1,GO:0002842,positive regulation of T cell mediated immune response to tumor cell,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_11,1,GO:0006958,"complement activation, classical pathway",GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_12,2,GO:0016064; GO:0019724,immunoglobulin mediated immune response; B cell mediated immunity,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_13,1,GO:0042267,natural killer cell mediated cytotoxicity,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_14,2,GO:0042270; GO:0045953,protection from natural killer cell mediated cytotoxicity; negative regulation of natural killer cell mediated cytotoxicity,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_15,1,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_16,1,GO:0045959,"negative regulation of complement activation, classical pathway",GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_2,2,GO:0001913; GO:0002456,T cell mediated cytotoxicity; T cell mediated immunity,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_3,1,GO:0001915,negative regulation of T cell mediated cytotoxicity,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_4,1,GO:0001916,positive regulation of T cell mediated cytotoxicity,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_5,1,GO:0002715,regulation of natural killer cell mediated immunity,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_6,1,GO:0002725,negative regulation of T cell cytokine production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_7,3,GO:0002726; GO:2000553; GO:2000556,positive regulation of T cell cytokine production; positive regulation of T-helper 2 cell cytokine production; positive regulation of T-helper 1 cell cytokine production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_8,1,GO:0002729,positive regulation of natural killer cell cytokine production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002449,lymphocyte mediated immunity,biological_process,BP_GO_0002449_9,1,GO:0002841,negative regulation of T cell mediated immune response to tumor cell,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,21,go_ancestor_prepartition,GO:0002449
BP,BP_GO_0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,biological_process,BP_GO_0002460_1,1,GO:0002634,regulation of germinal center formation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,5,go_ancestor_prepartition,GO:0002460
BP,BP_GO_0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,biological_process,BP_GO_0002460_2,1,GO:0002826,negative regulation of T-helper 1 type immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,5,go_ancestor_prepartition,GO:0002460
BP,BP_GO_0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,biological_process,BP_GO_0002460_3,1,GO:0002827,positive regulation of T-helper 1 type immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,5,go_ancestor_prepartition,GO:0002460
BP,BP_GO_0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,biological_process,BP_GO_0002460_4,1,GO:0042088,T-helper 1 type immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,5,go_ancestor_prepartition,GO:0002460
BP,BP_GO_0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,biological_process,BP_GO_0002460_5,1,GO:2000318,positive regulation of T-helper 17 type immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,5,go_ancestor_prepartition,GO:0002460
BP,BP_GO_0002682,regulation of immune system process,biological_process,BP_GO_0002682_singleton_1,1,GO:0002682,regulation of immune system process,singleton_one_term,0.7,1,go_ancestor_prepartition,GO:0002682
BP,BP_GO_0002683,negative regulation of immune system process,biological_process,BP_GO_0002683_1,2,GO:0043031; GO:1902564,negative regulation of macrophage activation; negative regulation of neutrophil activation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,5,go_ancestor_prepartition,GO:0002683
BP,BP_GO_0002683,negative regulation of immune system process,biological_process,BP_GO_0002683_2,1,GO:0050777,negative regulation of immune response,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,5,go_ancestor_prepartition,GO:0002683
BP,BP_GO_0002683,negative regulation of immune system process,biological_process,BP_GO_0002683_3,2,GO:0050859; GO:0050860,negative regulation of B cell receptor signaling pathway; negative regulation of T cell receptor signaling pathway,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,5,go_ancestor_prepartition,GO:0002683
BP,BP_GO_0002684,positive regulation of immune system process,biological_process,BP_GO_0002684_1,1,GO:0002606,positive regulation of dendritic cell antigen processing and presentation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,2,go_ancestor_prepartition,GO:0002684
BP,BP_GO_0002684,positive regulation of immune system process,biological_process,BP_GO_0002684_2,1,GO:0002684,positive regulation of immune system process,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,2,go_ancestor_prepartition,GO:0002684
BP,BP_GO_0002694,regulation of leukocyte activation,biological_process,BP_GO_0002694_singleton_1,1,GO:0043030,regulation of macrophage activation,singleton_one_term,0.7,1,go_ancestor_prepartition,GO:0002694
BP,BP_GO_0002696,positive regulation of leukocyte activation,biological_process,BP_GO_0002696_singleton_1,1,GO:0043032,positive regulation of macrophage activation,singleton_one_term,0.7,1,go_ancestor_prepartition,GO:0002696
BP,BP_GO_0002697,regulation of immune effector process,biological_process,BP_GO_0002697_1,3,GO:0001970; GO:0030449; GO:0045917,positive regulation of activation of membrane attack complex; regulation of complement activation; positive regulation of complement activation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002697
BP,BP_GO_0002697,regulation of immune effector process,biological_process,BP_GO_0002697_2,2,GO:0001971; GO:0045916,negative regulation of activation of membrane attack complex; negative regulation of complement activation,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002697
BP,BP_GO_0002697,regulation of immune effector process,biological_process,BP_GO_0002697_3,1,GO:0002638,negative regulation of immunoglobulin production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002697
BP,BP_GO_0002697,regulation of immune effector process,biological_process,BP_GO_0002697_4,1,GO:0002639,positive regulation of immunoglobulin production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002697
BP,BP_GO_0002697,regulation of immune effector process,biological_process,BP_GO_0002697_5,2,GO:0002719; GO:0010936,negative regulation of cytokine production involved in immune response; negative regulation of macrophage cytokine production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002697
BP,BP_GO_0002697,regulation of immune effector process,biological_process,BP_GO_0002697_6,2,GO:0002720; GO:0060907,positive regulation of cytokine production involved in immune response; positive regulation of macrophage cytokine production,GOSemSim_Wang_average_within_GO_ancestor_block,0.7,12,go_ancestor_prepartition,GO:0002697
